timestamp,step,recon_loss,token_acc,exact_match,acc_short,acc_med,acc_long,em_short,em_med,em_long,lr,elapsed_hours,analogy_avg,clustering_gap,direction_consistency,word_order_sim,effective_rank90,effective_rank95,fr_loss,fr_token_acc
2026-03-10T14:01:56.741310,500,6.711850,0.2785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.000000e-05,0.0615,0.9085,0.0196,0.1957,0.9690,6,8,6.901145,0.3333
2026-03-10T14:02:38.738581,1000,6.292510,0.2911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000e-04,0.0731,0.8322,0.0728,0.1713,0.9733,8,10,6.568465,0.3860
2026-03-10T14:03:20.263291,1500,6.082805,0.2785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.500000e-04,0.0847,0.6775,0.0797,0.1247,0.9880,8,11,6.419824,0.4211
2026-03-10T14:04:01.472966,2000,5.940667,0.2848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.000000e-04,0.0961,0.7616,0.1144,0.1774,0.9896,10,12,6.303744,0.4211
2026-03-10T14:04:43.307411,2500,5.803932,0.2848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999997e-04,0.1077,0.7200,0.1030,0.2761,0.9871,10,13,6.207479,0.4386
2026-03-10T14:05:23.424207,3000,5.711334,0.2532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999987e-04,0.1189,0.7304,0.1137,0.2671,0.9865,11,13,6.132787,0.4561
2026-03-10T14:06:04.363925,3500,5.611249,0.2532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999971e-04,0.1302,0.6645,0.1040,0.2973,0.9909,11,13,6.060928,0.4211
2026-03-10T14:06:44.416159,4000,5.062183,0.2848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999948e-04,0.1414,0.5741,0.0966,0.2928,0.9784,13,17,5.877800,0.4737
2026-03-10T14:07:25.465983,4500,3.287372,0.4810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999918e-04,0.1528,0.7065,0.0506,0.1592,0.9415,26,36,5.781490,0.4561
2026-03-10T14:08:06.157476,5000,2.523628,0.6013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999882e-04,0.1641,0.7428,0.0596,0.2187,0.9457,30,39,5.722987,0.4737
2026-03-10T14:08:49.649678,5500,2.027076,0.6646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999840e-04,0.1762,0.8082,0.0516,0.1905,0.9075,29,39,5.682306,0.4912
2026-03-10T14:09:30.525190,6000,1.646869,0.7595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999790e-04,0.1875,0.8221,0.0530,0.2344,0.9145,27,36,5.671079,0.4737
2026-03-10T14:10:10.774232,6500,1.427998,0.7911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999735e-04,0.1987,0.7710,0.0431,0.2511,0.9144,31,40,5.597229,0.5614
2026-03-10T14:10:51.163419,7000,1.230669,0.8038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999672e-04,0.2099,0.7979,0.0381,0.2760,0.9388,28,37,5.556682,0.4912
2026-03-10T14:11:32.096284,7500,1.106696,0.7975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999604e-04,0.2213,0.8170,0.0337,0.2411,0.9321,25,34,5.538960,0.5263
2026-03-10T14:12:13.009373,8000,0.915690,0.8481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999528e-04,0.2326,0.7915,0.0410,0.2469,0.9374,28,38,5.482231,0.5439
2026-03-10T14:12:53.702328,8500,0.837651,0.8544,0.0769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999446e-04,0.2440,0.8615,0.0316,0.2778,0.9406,25,35,5.423025,0.5614
2026-03-10T14:13:34.865032,9000,0.720229,0.8987,0.3077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999358e-04,0.2554,0.8390,0.0324,0.2771,0.9388,27,37,5.426641,0.5263
2026-03-10T14:14:16.229302,9500,0.683796,0.8861,0.1538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.999263e-04,0.2669,0.8212,0.0383,0.2865,0.9374,29,38,5.386182,0.5614
