timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,tokens_billions,elapsed_hours,val_loss,linux_bench_acc,stage
2026-02-27T16:57:51.157291,50,10.152215,25647.86,1.250000e-05,4887,819200,0.0008,0.0466,,,1
2026-02-27T16:59:31.522933,100,9.360192,11616.62,2.500000e-05,6113,1638400,0.0016,0.0744,,,1
2026-02-27T17:01:11.955967,150,8.150428,3464.86,3.750000e-05,6670,2457600,0.0025,0.1023,,,1
2026-02-27T17:02:52.743942,200,7.481036,1774.08,5.000000e-05,6984,3276800,0.0033,0.1303,,,1
2026-02-27T17:04:33.642400,250,7.002918,1099.84,6.250000e-05,7184,4096000,0.0041,0.1584,,,1
2026-02-27T17:06:15.383182,300,6.687741,802.51,7.500000e-05,7316,4915200,0.0049,0.1866,,,1
2026-02-27T17:07:55.664622,350,6.558899,705.49,8.750000e-05,7427,5734400,0.0057,0.2145,,,1
2026-02-27T17:09:35.844107,400,6.397027,600.06,1.000000e-04,7513,6553600,0.0066,0.2423,,,1
2026-02-27T17:11:16.558937,450,6.205824,495.63,1.125000e-04,7577,7372800,0.0074,0.2703,,,1
2026-02-27T17:12:56.768919,500,5.990055,399.44,1.250000e-04,7633,8192000,0.0082,0.2981,,,1
2026-02-27T17:14:37.319641,550,5.878035,357.11,1.375000e-04,7677,9011200,0.0090,0.3261,,,1
2026-02-27T17:16:18.133570,600,5.940087,379.97,1.500000e-04,7712,9830400,0.0098,0.3541,,,1
2026-02-27T17:17:58.749182,650,5.897836,364.25,1.625000e-04,7744,10649600,0.0106,0.3820,,,1
2026-02-27T17:19:39.600629,700,5.742926,311.98,1.750000e-04,7770,11468800,0.0115,0.4100,,,1
2026-02-27T17:21:20.960377,750,5.637074,280.64,1.875000e-04,7790,12288000,0.0123,0.4382,,,1
2026-02-27T17:23:01.385369,800,5.600381,270.53,2.000000e-04,7812,13107200,0.0131,0.4661,,,1
2026-02-27T17:24:42.539621,850,5.599099,270.18,2.125000e-04,7828,13926400,0.0139,0.4942,,,1
2026-02-27T17:26:22.771216,900,5.399775,221.36,2.250000e-04,7847,14745600,0.0147,0.5220,,,1
2026-02-27T17:28:03.359140,950,5.343663,209.28,2.375000e-04,7862,15564800,0.0156,0.5500,,,1
2026-02-27T17:29:44.854804,1000,5.257381,191.98,2.500000e-04,7872,16384000,0.0164,0.5781,5.894783,,1
2026-02-27T17:32:02.486448,1050,4.740691,114.51,2.625000e-04,7753,17203200,0.0172,0.6164,,,1
2026-02-27T17:33:43.072368,1100,4.719579,112.12,2.750000e-04,7770,18022400,0.0180,0.6443,,,1
2026-02-27T17:35:23.784367,1150,5.045861,155.38,2.875000e-04,7785,18841600,0.0188,0.6723,,,1
2026-02-27T17:37:04.563492,1200,5.252618,191.07,3.000000e-04,7799,19660800,0.0197,0.7003,,,1
2026-02-27T17:38:45.315707,1250,5.334095,207.29,3.125000e-04,7811,20480000,0.0205,0.7283,,,1
2026-02-27T17:40:26.048769,1300,5.301435,200.62,3.250000e-04,7823,21299200,0.0213,0.7563,,,1
2026-02-27T17:42:06.702077,1350,5.279415,196.25,3.375000e-04,7835,22118400,0.0221,0.7842,,,1
2026-02-27T17:43:47.195982,1400,5.180727,177.81,3.500000e-04,7845,22937600,0.0229,0.8121,,,1
2026-02-27T17:45:27.938070,1450,5.138647,170.48,3.625000e-04,7855,23756800,0.0238,0.8401,,,1
2026-02-27T17:47:08.740717,1500,5.125663,168.29,3.750000e-04,7864,24576000,0.0246,0.8681,,,1
2026-02-27T17:48:49.762474,1550,5.066693,158.65,3.875000e-04,7871,25395200,0.0254,0.8962,,,1
2026-02-27T17:50:30.902231,1600,4.921841,137.26,4.000000e-04,7878,26214400,0.0262,0.9243,,,1
2026-02-27T17:52:11.638078,1650,4.949474,141.10,4.125000e-04,7886,27033600,0.0270,0.9523,,,1
2026-02-27T17:53:52.653876,1700,4.961150,142.76,4.250000e-04,7892,27852800,0.0279,0.9803,,,1
2026-02-27T17:55:33.565110,1750,4.742262,114.69,4.375000e-04,7899,28672000,0.0287,1.0083,,,1
2026-02-27T17:57:14.189922,1800,4.764939,117.32,4.500000e-04,7905,29491200,0.0295,1.0363,,,1
2026-02-27T17:58:55.007688,1850,4.805221,122.15,4.625000e-04,7911,30310400,0.0303,1.0643,,,1
2026-02-27T18:00:36.014754,1900,4.781039,119.23,4.750000e-04,7916,31129600,0.0311,1.0924,,,1
2026-02-27T18:02:17.603863,1950,4.703596,110.34,4.875000e-04,7920,31948800,0.0319,1.1206,,,1
2026-02-27T18:03:58.377909,2000,4.680518,107.83,5.000000e-04,7925,32768000,0.0328,1.1486,5.331800,,1
2026-02-27T18:07:38.496646,2050,4.747172,115.26,5.000000e-04,7712,33587200,0.0336,1.2097,,,1
2026-02-27T18:09:18.494835,2100,4.576124,97.14,5.000000e-04,7723,34406400,0.0344,1.2375,,,1
2026-02-27T18:10:58.918219,2150,4.511944,91.10,5.000000e-04,7733,35225600,0.0352,1.2654,,,1
2026-02-27T18:12:39.674100,2200,4.539186,93.61,5.000000e-04,7741,36044800,0.0360,1.2934,,,1
2026-02-27T18:14:20.752142,2250,4.455420,86.09,5.000000e-04,7749,36864000,0.0369,1.3215,,,1
2026-02-27T18:16:02.289273,2300,4.337918,76.55,5.000000e-04,7756,37683200,0.0377,1.3497,,,1
2026-02-27T18:17:42.986179,2350,4.273760,71.79,5.000000e-04,7763,38502400,0.0385,1.3776,,,1
2026-02-27T18:19:24.074295,2400,4.282456,72.42,5.000000e-04,7770,39321600,0.0393,1.4057,,,1
2026-02-27T18:21:05.136683,2450,4.293522,73.22,5.000000e-04,7777,40140800,0.0401,1.4338,,,1
