timestamp,step,recon_loss,pos_sim,neg_sim,wo_sim,eff_rank,lr,elapsed_hours
2026-03-07T12:04:00.329520,500,12.931120,0.6030,0.2106,0.9453,36,7.500000e-05,0.0767
2026-03-07T12:07:31.520724,1000,10.551491,0.6316,0.2001,0.9524,36,1.500000e-04,0.1354
2026-03-07T12:11:01.110348,1500,8.948153,0.5328,-0.1932,0.9581,41,2.250000e-04,0.1936
2026-03-07T12:14:32.248475,2000,7.679715,0.6340,-0.2029,0.9378,51,3.000000e-04,0.2522
2026-03-07T12:18:01.675543,2500,6.525826,0.5868,-0.2133,0.9396,54,2.999953e-04,0.3104
2026-03-07T12:21:30.639141,3000,5.744727,0.6739,-0.0565,0.8774,56,2.999812e-04,0.3685
2026-03-07T12:24:59.932028,3500,5.118210,0.6716,-0.0213,0.9252,56,2.999576e-04,0.4266
2026-03-07T12:28:29.048481,4000,4.666808,0.6671,0.1427,0.9299,57,2.999246e-04,0.4847
2026-03-07T12:31:58.841965,4500,4.116232,0.6803,0.1053,0.9107,58,2.998821e-04,0.5430
2026-03-07T12:35:27.720502,5000,3.670740,0.7331,0.4058,0.8722,58,2.998302e-04,0.6010
2026-03-07T12:39:01.886097,5500,2.431325,0.6808,0.3418,0.8008,73,2.997689e-04,0.6605
